StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      105,      00,   189512,    .87,   19.3,    1.6,    1.6,    .28,      1,      0,   1350,    .13,    .68,   -.64,  -1.48,   -.93,    -.7, -99.99,    8.8,   29.8,
      104,      00,   189512,   2.92,   45.3,  -2.35,  -2.35,  -1.81,  -2.35,     14,    562,   -.56,   -.65,  -1.07,  -1.67,   -.83,   -.25, -99.99,     34,   56.6,
      102,      00,   189512,   1.57,   19.9,  -2.74,  -2.74,   -.52,  -2.74,      0,   1263,    .67,    .28,  -1.13,  -1.11,   -1.3,  -1.65, -99.99,   11.2,   28.5,
      108,      00,   189512,   6.28,   27.7,    .32,  -1.59,    .96,  -1.09,      0,    865,    .95,    -.1,   -.94,   -.77,   -.82,   -.84, -99.99,   20.9,   34.4,
      103,      00,   189512,   4.83,   34.3,  -1.85,  -1.85,   1.74,  -1.06,      0,    994,   1.41,   1.22,    .14,   -.15,   -.91,  -1.39, -99.99,   25.6,   43.1,
      109,      00,   189512,   1.84,   35.6,  -1.08,  -1.08,  -1.24,  -1.08,      0,    633,   -.36,   -.56,   -.82,   -.88,   -.92,    .11, -99.99,   25.2,     46,
      101,      00,   189512,   3.56,   28.2,  -2.56,  -2.56,    .34,  -2.36,      0,   1000,    .25,    .65,    .03,   -.89,  -1.09,  -1.61, -99.99,     19,   37.4,
      106,      00,   189601,    2.3,     42,    .49,   1.29,    .49,    .53,      7,    625,    .17,    .21,    .28,    -.5,     .3,   -.26, -99.99,   31.4,   52.7,
      102,      00,   189601,    .92,   15.4,  -2.68,  -2.68,   -.67,  -2.68,      0,   1384,   -.31,    .14,    .02,   -.91,  -1.15,   -1.7, -99.99,    6.2,   24.6,
      109,      00,   189601,    5.4,   40.9,    .95,    .95,   2.85,    .95,      0,    519,    1.3,    .78,    .49,     .3,    .25,   -.15, -99.99,   31.6,   50.1,
      103,      00,   189601,   1.49,   31.2,   -2.2,   -2.2,  -1.62,  -2.03,      0,   1098,  -1.31,    .18,    .35,   -.88,   -.94,   -1.7, -99.99,   23.1,   39.3,
      107,      00,   189601,    .68,   34.8,   -.34,   2.78,   -.65,   2.25,      0,    689,   -.41,   -.81,    .22,   -.43,    .26,   -.17, -99.99,   22.3,   47.3,
      108,      00,   189601,    6.7,   30.3,   1.22,   1.22,    2.8,   1.22,      0,    849,   1.32,   1.38,    .55,   -.03,   -.07,   -.75, -99.99,   23.5,     37,
      101,      00,   189601,   1.48,   19.2,  -3.12,  -3.12,  -2.47,  -3.12,      0,   1271,  -1.96,    -.9,   -.18,  -1.26,  -1.72,  -2.24, -99.99,   11.1,   27.4,
      105,      00,   189601,   1.23,   17.3,   1.92,   1.92,   1.46,   1.78,      0,   1388,    1.2,    .86,   1.08,   -.98,   -.72,   -.78, -99.99,    6.2,   28.4,
      104,      00,   189601,   3.34,   43.2,  -2.29,  -2.29,   -.54,  -2.29,     14,    631,   -.27,    -.6,   -.68,  -1.48,  -1.32,   -.88, -99.99,   33.4,   52.9,
      103,      00,   189602,   2.56,   33.5,  -2.01,  -2.01,   -.12,  -1.83,      0,    943,    .02,  -1.02,    .08,   -.81,    -.7,  -1.37, -99.99,   24.3,   42.8,
      108,      00,   189602,   2.89,   34.4,    -.4,     .7,  -1.19,   -.12,      0,    652,   -.35,    .75,   1.09,   -.08,   -.47,   -.43, -99.99,   25.6,   43.2,
      104,      00,   189602,   5.13,   47.1,  -1.52,  -1.52,   1.59,   -.75,     15,    476,    .83,    .36,   -.06,  -1.24,  -1.19,   -.41, -99.99,   35.9,   58.3,
      105,      00,   189602,    .66,   24.5,   1.78,   1.78,    .17,   1.65,      0,   1084,   -.57,     .6,    .52,   -.64,   -.66,   -.87, -99.99,   12.6,   36.4,
      106,      00,   189602,   2.66,   46.2,    .79,   1.51,   1.05,   1.01,      8,    452,    .53,    .43,     .4,   -.57,    .39,   -.07, -99.99,   33.1,   59.2,
      109,      00,   189602,    .46,   42.6,    .06,    .06,  -2.38,   -.79,      0,    429,  -1.68,    .28,   -.01,   -.34,   -.57,   -.61, -99.99,   29.8,   55.3,
      101,      00,   189602,   4.85,   22.2,   1.36,  -1.43,   4.09,    .29,      0,   1052,   2.03,    .43,    .43,   -.39,   -.83,  -1.27, -99.99,     13,   31.5,
      107,      00,   189602,    .49,   35.3,   -.63,   2.17,   -.97,   1.22,      0,    616,  -1.09,  -1.03,  -1.24,   -.79,   -.36,   -.46, -99.99,   21.8,   48.8,
